"","sent_pair_id","verb_id","verb","classification","IO","frequency_rank","diff_avg","diff_gpt2","diff_gpt2_med","diff_gpt2_large","diff_gpt2_xl","mean_z_DOsentence","mean_z_PDsentence","mean_scores_DOsentence","mean_scores_PDsentence","human_zdiff","human_sdiff"
"1",1,101,"took","alternating","longIndefinite",1,1.31694469451904,0.960973739624023,1.0048828125,1.0048828125,1.0048828125,0.448904729188008,0.934199244539888,72.1904761904762,87.95,0.48529451535188,15.7595238095238
"2",2,101,"took","alternating","shortIndefinite",1,1.0775839805603,1.0591983795166,1.01094675064087,1.01094675064087,1.01094675064087,0.465067561981266,0.978027823259808,72.6,90.35,0.512960261278542,17.75
"3",3,103,"gave","alternating","longIndefinite",3,1.30797400474548,0.747016429901123,0.67570686340332,0.67570686340332,0.67570686340332,0.735267718964517,0.997436592915105,84.9130434782609,91.65,0.262168873950588,6.73695652173913
"4",4,103,"gave","alternating","shortIndefinite",3,0.504096984863281,0.554985523223877,0.556145668029785,0.556145668029785,0.556145668029785,1.05085362859431,1.12660440171512,92.2,95.65,0.075750773120812,3.45
"5",5,105,"showed","alternating","longIndefinite",5,0.892996978759766,0.666792392730713,0.490628242492676,0.490628242492676,0.490628242492676,0.718878204225648,0.727925823177153,78.35,84,0.0090476189515053,5.65000000000001
"6",6,105,"showed","alternating","shortIndefinite",5,0.424959659576416,0.496565341949463,0.224820613861084,0.224820613861084,0.224820613861084,1.09680708083009,1.11191646358284,94.75,95.8,0.0151093827527553,1.05
"7",7,107,"brought","alternating","longIndefinite",7,0.958943605422974,0.735120534896851,0.739457368850708,0.739457368850708,0.739457368850708,0.642599420757819,0.584611679424733,79.75,82.5217391304348,-0.0579877413330864,2.77173913043478
"8",8,107,"brought","alternating","shortIndefinite",7,0.525686645507813,0.738649368286133,0.927036285400391,0.927036285400391,0.927036285400391,1.17881002946649,1.11034358857566,97.45,93.5,-0.0684664408908351,-3.95
"9",9,109,"paid","alternating","longIndefinite",9,2.16140823364258,1.28110122680664,0.535830020904541,0.535830020904541,0.535830020904541,0.843777112030197,1.04785750458074,85.15,93,0.204080392550542,7.84999999999999
"10",10,109,"paid","alternating","shortIndefinite",9,-0.0668988227844238,0.335141658782959,-0.070164680480957,-0.070164680480957,-0.070164680480957,0.88689247600642,0.716843341820095,90.1428571428571,79.55,-0.170049134186325,-10.5928571428571
"11",11,111,"offered","alternating","longIndefinite",11,1.0209189414978,0.642738342285156,0.892830371856689,0.892830371856689,0.892830371856689,0.873401199415207,0.96113730993198,85.7,89.8,0.0877361105167732,4.09999999999999
"12",12,111,"offered","alternating","shortIndefinite",11,0.719093418121338,0.714153289794922,0.896012783050537,0.896012783050537,0.896012783050537,0.880498064543591,0.921900717595045,89.4782608695652,89.05,0.0414026530514544,-0.428260869565221
"13",13,113,"sold","alternating","longIndefinite",13,1.63728036880493,1.25538110733032,1.13490390777588,1.13490390777588,1.13490390777588,0.509496602275072,0.653379818415429,74,80.1,0.143883216140358,6.09999999999999
"14",14,113,"sold","alternating","shortIndefinite",13,1.18925380706787,0.961799144744873,0.968703746795654,0.968703746795654,0.968703746795654,1.06453101079471,1.07149458074289,91.25,97.0952380952381,0.00696356994818048,5.8452380952381
"15",15,115,"hit","alternating","longIndefinite",15,0.927924633026123,0.720708847045898,0.843743324279785,0.843743324279785,0.843743324279785,-0.372099026812141,0.682450053297955,38,78.1,1.0545490801101,40.1
"16",16,115,"hit","alternating","shortIndefinite",15,0.459377479553223,0.383958339691162,1.08307504653931,1.08307504653931,1.08307504653931,-0.41976467039974,0.57537097817576,39.7,76.7826086956522,0.9951356485755,37.0826086956522
"17",17,117,"taught","alternating","longIndefinite",17,1.43391952514648,1.34712028503418,1.22529458999634,1.22529458999634,1.22529458999634,0.697175470620244,0.902837686536931,82.8095238095238,85.8,0.205662215916687,2.99047619047619
"18",18,117,"taught","alternating","shortIndefinite",17,0.71535005569458,0.811043739318848,0.81947660446167,0.81947660446167,0.81947660446167,1.05550260762524,1.03096674220539,93.85,92.25,-0.024535865419856,-1.59999999999999
"19",19,119,"threw","alternating","longIndefinite",19,1.6285439491272,1.65143299102783,1.47284412384033,1.47284412384033,1.47284412384033,0.300138584540311,0.847625350020757,66.5652173913043,86.65,0.547486765480445,20.0847826086957
"20",20,119,"threw","alternating","shortIndefinite",19,0.950499057769775,1.09516334533691,1.13707065582275,1.13707065582275,1.13707065582275,0.687104664294969,0.95794628140965,77.65,88.95,0.270841617114681,11.3
"21",21,121,"pushed","alternating","longIndefinite",21,0.838847255706787,0.743490695953369,1.43970060348511,1.43970060348511,1.43970060348511,0.0153651442366417,0.650470639139179,56.7,80.6666666666667,0.635105494902538,23.9666666666667
"22",22,121,"pushed","alternating","shortIndefinite",21,0.65940990447998,1.00925064086914,1.93210935592651,1.93210935592651,1.93210935592651,0.466687161193593,0.843835285488271,73.75,85.5,0.377148124294678,11.75
"23",23,123,"flew","alternating","longIndefinite",23,1.29575862884521,1.0677170753479,1.08511829376221,1.08511829376221,1.08511829376221,-0.00696152178512488,0.0153996295099873,55.85,58.0434782608696,0.0223611512951122,2.19347826086956
"24",24,123,"flew","alternating","shortIndefinite",23,1.13411178588867,1.57054376602173,1.08770275115967,1.08770275115967,1.08770275115967,0.101058840952865,-0.061718421508512,56.05,52.25,-0.162777262461377,-3.8
"25",25,125,"promised","alternating","longIndefinite",25,0.719973754882812,0.65782356262207,0.732275485992432,0.732275485992432,0.732275485992432,0.655091359190487,0.457980943581882,78.15,72.75,-0.197110415608605,-5.40000000000001
"26",26,125,"promised","alternating","shortIndefinite",25,-0.145364093780518,0.167122364044189,0.322934627532959,0.322934627532959,0.322934627532959,0.869744486874458,0.615704470824375,89.5714285714286,75.3,-0.254040016050083,-14.2714285714286
"27",27,127,"kicked","alternating","longIndefinite",27,0.940938472747803,1.17445945739746,1.43529176712036,1.43529176712036,1.43529176712036,0.0664768052138585,0.54624142857682,54.1,74.55,0.479764623362962,20.45
"28",28,127,"kicked","alternating","shortIndefinite",27,0.976016616821289,1.681884765625,1.95950412750244,1.95950412750244,1.95950412750244,-0.0697310587193125,0.974022480201235,53.5217391304348,90.65,1.04375353892055,37.1282608695652
"29",29,129,"granted","alternating","longIndefinite",29,1.20939121246338,0.946178913116455,0.429888248443604,0.429888248443604,0.429888248443604,0.795095295924387,0.72833294729682,83.7,81.1,-0.0667623486275677,-2.60000000000001
